v8-version,9,7,106,5,0
v8-platform,linux,linux
shared-library,/home/raf/.deno/bin/deno,0x556367011000,0x55636a902000,0
shared-library,/usr/lib/libc-2.33.so,0x7f056c8e3000,0x7f056ca54000,0
shared-library,/usr/lib/libm-2.33.so,0x7f056caaf000,0x7f056cb58000,0
shared-library,/usr/lib/libpthread-2.33.so,0x7f056cbf3000,0x7f056cc09000,0
shared-library,/usr/lib/librt-2.33.so,0x7f056cc14000,0x7f056cc1b000,0
shared-library,/usr/lib/libgcc_s.so.1,0x7f056cc1f000,0x7f056cc34000,0
shared-library,/usr/lib/libdl-2.33.so,0x7f056cc3a000,0x7f056cc3e000,0
shared-library,/usr/lib/ld-2.33.so,0x7f056cc66000,0x7f056cc8b000,0
shared-library,[vdso],0x7fff397ee000,0x7fff397f0000,0
shared-library-end
profiler,begin,1000
tick,0x7f056c96c692,777,0,0x0,6
new,CodeRange,0xb7b00000000,0
tick,0x55636930fa90,1917,0,0x0,6
new,MemoryChunk,0xb7b08000000,262144
tick,0x556369003800,2799,0,0x0,6
tick,0x556368feefa0,3993,0,0x0,6
new,MemoryChunk,0xb7b08040000,262144
new,MemoryChunk,0xb7b08080000,262144
heap-capacity,507344
heap-available,1518652320
tick,0x7f056c9d289c,5142,0,0x0,6
new,MemoryChunk,0xb7b080c0000,262144
tick,0x556369190f3a,6099,0,0x0,6
tick,0x556368c753b6,7185,0,0x0,6
new,MemoryChunk,0xb7b08100000,262144
new,MemoryChunk,0xb7b08140000,262144
new,MemoryChunk,0xb7b08180000,180224
tick,0x556369191551,8278,0,0x0,6
new,MemoryChunk,0xb7b081c0000,262144
new,MemoryChunk,0xb7b08200000,262144
new,MemoryChunk,0xb7b08240000,159744
tick,0x7f056ca46576,9341,0,0x0,6
new,MemoryChunk,0xb7b08280000,262144
new,MemoryChunk,0xb7b00000000,262144
tick,0x556369190ebe,10371,0,0x0,6
code-creation,BytecodeHandler,0,31512,0x5563699528c0,64,LdaTheHole
code-creation,BytecodeHandler,0,31523,0x556369952940,24,LdaTrue
code-creation,BytecodeHandler,0,31532,0x556369952980,24,LdaFalse
code-creation,BytecodeHandler,0,31543,0x5563699529c0,72,LdaConstant
code-creation,BytecodeHandler,0,31553,0x556369952a40,132,LdaContextSlot
code-creation,BytecodeHandler,0,31563,0x556369952b00,132,LdaImmutableContextSlot
code-creation,BytecodeHandler,0,31575,0x556369952bc0,84,LdaCurrentContextSlot
code-creation,BytecodeHandler,0,31586,0x556369952c40,84,LdaImmutableCurrentContextSlot
code-creation,BytecodeHandler,0,31599,0x556369952cc0,32,Star
code-creation,BytecodeHandler,0,31607,0x556369952d00,40,Mov
code-creation,BytecodeHandler,0,31618,0x556369952d40,40,PushContext
code-creation,BytecodeHandler,0,31628,0x556369952d80,36,PopContext
code-creation,BytecodeHandler,0,31639,0x556369952dc0,52,TestReferenceEqual
code-creation,BytecodeHandler,0,31649,0x556369952e00,60,TestUndetectable
code-creation,BytecodeHandler,0,31660,0x556369952e40,44,TestNull
code-creation,BytecodeHandler,0,31669,0x556369952e80,44,TestUndefined
code-creation,BytecodeHandler,0,31680,0x556369952ec0,376,TestTypeOf
code-creation,BytecodeHandler,0,31689,0x556369953040,6092,LdaGlobal
code-creation,BytecodeHandler,0,31700,0x556369954840,4852,LdaGlobalInsideTypeof
code-creation,BytecodeHandler,0,31711,0x556369955b40,168,StaGlobal
code-creation,BytecodeHandler,0,31720,0x556369955c00,164,StaContextSlot
code-creation,BytecodeHandler,0,31731,0x556369955cc0,116,StaCurrentContextSlot
code-creation,BytecodeHandler,0,31742,0x556369955d40,124,LdaLookupSlot
code-creation,BytecodeHandler,0,31751,0x556369955dc0,260,LdaLookupContextSlot
code-creation,BytecodeHandler,0,31762,0x556369955f00,5068,LdaLookupGlobalSlot
code-creation,BytecodeHandler,0,31773,0x556369957300,124,LdaLookupSlotInsideTypeof
code-creation,BytecodeHandler,0,31784,0x556369957380,260,LdaLookupContextSlotInsideTypeof
code-creation,BytecodeHandler,0,31797,0x5563699574c0,5032,LdaLookupGlobalSlotInsideTypeof
code-creation,BytecodeHandler,0,31809,0x556369958880,204,StaLookupSlot
code-creation,BytecodeHandler,0,31819,0x556369958980,5520,LdaNamedProperty
code-creation,BytecodeHandler,0,31830,0x556369959f40,196,LdaNamedPropertyFromSuper
code-creation,BytecodeHandler,0,31841,0x55636995a040,208,LdaKeyedProperty
code-creation,BytecodeHandler,0,31861,0x55636995a140,188,LdaModuleVariable
code-creation,BytecodeHandler,0,31875,0x55636995a200,308,StaModuleVariable
code-creation,BytecodeHandler,0,31887,0x55636995a340,180,StaNamedProperty
code-creation,BytecodeHandler,0,31901,0x55636995a400,180,StaNamedOwnProperty
code-creation,BytecodeHandler,0,31915,0x55636995a4c0,168,StaKeyedProperty
code-creation,BytecodeHandler,0,31928,0x55636995a580,168,StaKeyedPropertyAsDefine
code-creation,BytecodeHandler,0,31942,0x55636995a640,168,StaInArrayLiteral
code-creation,BytecodeHandler,0,31955,0x55636995a700,196,StaDataPropertyInLiteral
code-creation,BytecodeHandler,0,31969,0x55636995a800,164,CollectTypeProfile
code-creation,BytecodeHandler,0,31982,0x55636995a8c0,992,Add
code-creation,BytecodeHandler,0,31994,0x55636995acc0,1048,Sub
code-creation,BytecodeHandler,0,32006,0x55636995b100,1144,Mul
code-creation,BytecodeHandler,0,32019,0x55636995b580,948,Div
code-creation,BytecodeHandler,0,32031,0x55636995b940,1012,Mod
code-creation,BytecodeHandler,0,32049,0x55636995bd40,960,Exp
code-creation,BytecodeHandler,0,32062,0x55636995c140,992,BitwiseOr
code-creation,BytecodeHandler,0,32075,0x55636995c540,988,BitwiseXor
code-creation,BytecodeHandler,0,32087,0x55636995c940,988,BitwiseAnd
code-creation,BytecodeHandler,0,32100,0x55636995cd40,988,ShiftLeft
code-creation,BytecodeHandler,0,32112,0x55636995d140,988,ShiftRight
code-creation,BytecodeHandler,0,32125,0x55636995d540,992,ShiftRightLogical
code-creation,BytecodeHandler,0,32138,0x55636995d940,916,AddSmi
code-creation,BytecodeHandler,0,32150,0x55636995dd00,980,SubSmi
code-creation,BytecodeHandler,0,32162,0x55636995e100,1048,MulSmi
code-creation,BytecodeHandler,0,32175,0x55636995e540,936,DivSmi
code-creation,BytecodeHandler,0,32187,0x55636995e900,932,ModSmi
code-creation,BytecodeHandler,0,32199,0x55636995ecc0,848,ExpSmi
code-creation,BytecodeHandler,0,32211,0x55636995f040,600,BitwiseOrSmi
code-creation,BytecodeHandler,0,32227,0x55636995f2c0,600,BitwiseXorSmi
code-creation,BytecodeHandler,0,32240,0x55636995f540,600,BitwiseAndSmi
code-creation,BytecodeHandler,0,32253,0x55636995f7c0,600,ShiftLeftSmi
code-creation,BytecodeHandler,0,32266,0x55636995fa40,600,ShiftRightSmi
code-creation,BytecodeHandler,0,32279,0x55636995fcc0,604,ShiftRightLogicalSmi
code-creation,BytecodeHandler,0,32292,0x55636995ff40,628,Inc
code-creation,BytecodeHandler,0,32303,0x5563699601c0,632,Dec
code-creation,BytecodeHandler,0,32315,0x556369960440,616,Negate
code-creation,BytecodeHandler,0,32327,0x5563699606c0,596,BitwiseNot
code-creation,BytecodeHandler,0,32340,0x556369960940,124,ToBooleanLogicalNot
code-creation,BytecodeHandler,0,32353,0x5563699609c0,44,LogicalNot
code-creation,BytecodeHandler,0,32365,0x556369960a00,204,TypeOf
code-creation,BytecodeHandler,0,32378,0x556369960b00,112,DeletePropertyStrict
code-creation,BytecodeHandler,0,32391,0x556369960b80,108,DeletePropertySloppy
code-creation,BytecodeHandler,0,32405,0x556369960c00,44,GetSuperConstructor
code-creation,BytecodeHandler,0,32418,0x556369960c40,1160,CallAnyReceiver
code-creation,BytecodeHandler,0,32433,0x556369961100,1160,CallProperty
code-creation,BytecodeHandler,0,32446,0x5563699615c0,1092,CallProperty0
code-creation,BytecodeHandler,0,32459,0x556369961a40,1104,CallProperty1
code-creation,BytecodeHandler,0,32472,0x556369961ec0,1116,CallProperty2
code-creation,BytecodeHandler,0,32485,0x556369962340,1092,CallUndefinedReceiver
code-creation,BytecodeHandler,0,32499,0x5563699627c0,1120,CallUndefinedReceiver0
code-creation,BytecodeHandler,0,32512,0x556369962c40,1072,CallUndefinedReceiver1
code-creation,BytecodeHandler,0,32526,0x556369963080,1088,CallUndefinedReceiver2
code-creation,BytecodeHandler,0,32539,0x556369963500,1160,CallWithSpread
code-creation,BytecodeHandler,0,32551,0x5563699639c0,128,CallRuntime
code-creation,BytecodeHandler,0,32564,0x556369963a80,160,CallRuntimeForPair
code-creation,BytecodeHandler,0,32577,0x556369963b40,92,CallJSRuntime
code-creation,BytecodeHandler,0,32590,0x556369963bc0,1228,InvokeIntrinsic
code-creation,BytecodeHandler,0,32603,0x5563699640c0,1064,Construct
code-creation,BytecodeHandler,0,32615,0x556369964500,548,ConstructWithSpread
code-creation,BytecodeHandler,0,32628,0x556369964740,1848,TestEqual
code-creation,BytecodeHandler,0,32640,0x556369964e80,1036,TestEqualStrict
code-creation,BytecodeHandler,0,32653,0x5563699652c0,1316,TestLessThan
code-creation,BytecodeHandler,0,32666,0x556369965800,1316,TestGreaterThan
code-creation,BytecodeHandler,0,32679,0x556369965d40,1316,TestLessThanOrEqual
code-creation,BytecodeHandler,0,32693,0x556369966280,1316,TestGreaterThanOrEqual
code-creation,BytecodeHandler,0,32706,0x5563699667c0,864,TestInstanceOf
code-creation,BytecodeHandler,0,32719,0x556369966b40,164,TestIn
code-creation,BytecodeHandler,0,32732,0x556369966c00,108,ToName
code-creation,BytecodeHandler,0,32744,0x556369966c80,208,ToNumber
code-creation,BytecodeHandler,0,32756,0x556369966d80,224,ToNumeric
code-creation,BytecodeHandler,0,32769,0x556369966e80,108,ToObject
code-creation,BytecodeHandler,0,32782,0x556369966f00,116,ToString
code-creation,BytecodeHandler,0,32809,0x556369966f80,424,CreateRegExpLiteral
code-creation,BytecodeHandler,0,32823,0x556369967140,1452,CreateArrayLiteral
code-creation,BytecodeHandler,0,32836,0x556369967700,92,CreateArrayFromIterable
code-creation,BytecodeHandler,0,32850,0x556369967780,804,CreateEmptyArrayLiteral
code-creation,BytecodeHandler,0,32864,0x556369967ac0,2240,CreateObjectLiteral
code-creation,BytecodeHandler,0,32877,0x5563699683c0,228,CreateEmptyObjectLiteral
code-creation,BytecodeHandler,0,32891,0x5563699684c0,176,CloneObject
code-creation,BytecodeHandler,0,32903,0x556369968580,216,GetTemplateObject
code-creation,BytecodeHandler,0,32922,0x556369968680,336,CreateClosure
code-creation,BytecodeHandler,0,32934,0x556369968800,128,CreateBlockContext
code-creation,BytecodeHandler,0,32947,0x5563699688c0,140,CreateCatchContext
code-creation,BytecodeHandler,0,32960,0x556369968980,264,CreateFunctionContext
code-creation,BytecodeHandler,0,32973,0x556369968ac0,268,CreateEvalContext
code-creation,BytecodeHandler,0,32988,0x556369968c00,140,CreateWithContext
code-creation,BytecodeHandler,0,33002,0x556369968cc0,1604,CreateMappedArguments
code-creation,BytecodeHandler,0,33015,0x556369969340,568,CreateUnmappedArguments
code-creation,BytecodeHandler,0,33029,0x556369969580,620,CreateRestParameter
code-creation,BytecodeHandler,0,33043,0x556369969800,420,JumpLoop
code-creation,BytecodeHandler,0,33055,0x5563699699c0,44,Jump
code-creation,BytecodeHandler,0,33067,0x556369969a00,64,JumpConstant
code-creation,BytecodeHandler,0,33080,0x556369969a80,88,JumpIfNullConstant
code-creation,BytecodeHandler,0,33093,0x556369969b00,88,JumpIfNotNullConstant
code-creation,BytecodeHandler,0,33107,0x556369969b80,88,JumpIfUndefinedConstant
code-creation,BytecodeHandler,0,33120,0x556369969c00,88,JumpIfNotUndefinedConstant
code-creation,BytecodeHandler,0,33134,0x556369969c80,96,JumpIfUndefinedOrNullConstant
code-creation,BytecodeHandler,0,33148,0x556369969d00,88,JumpIfTrueConstant
code-creation,BytecodeHandler,0,33162,0x556369969d80,88,JumpIfFalseConstant
code-creation,BytecodeHandler,0,33175,0x556369969e00,96,JumpIfJSReceiverConstant
code-creation,BytecodeHandler,0,33189,0x556369969e80,164,JumpIfToBooleanTrueConstant
code-creation,BytecodeHandler,0,33202,0x556369969f40,164,JumpIfToBooleanFalseConstant
code-creation,BytecodeHandler,0,33216,0x55636996a000,148,JumpIfToBooleanTrue
code-creation,BytecodeHandler,0,33229,0x55636996a0c0,148,JumpIfToBooleanFalse
code-creation,BytecodeHandler,0,33243,0x55636996a180,68,JumpIfTrue
code-creation,BytecodeHandler,0,33255,0x55636996a200,68,JumpIfFalse
code-creation,BytecodeHandler,0,33268,0x55636996a280,68,JumpIfNull
code-creation,BytecodeHandler,0,33281,0x55636996a300,68,JumpIfNotNull
code-creation,BytecodeHandler,0,33294,0x55636996a380,68,JumpIfUndefined
code-creation,BytecodeHandler,0,33307,0x55636996a400,68,JumpIfNotUndefined
code-creation,BytecodeHandler,0,33320,0x55636996a480,80,JumpIfUndefinedOrNull
code-creation,BytecodeHandler,0,33333,0x55636996a500,80,JumpIfJSReceiver
code-creation,BytecodeHandler,0,33346,0x55636996a580,112,SwitchOnSmiNoFeedback
code-creation,BytecodeHandler,0,33359,0x55636996a600,484,ForInEnumerate
code-creation,BytecodeHandler,0,33373,0x55636996a800,300,ForInPrepare
code-creation,BytecodeHandler,0,33385,0x55636996a940,64,ForInContinue
code-creation,BytecodeHandler,0,33398,0x55636996a9c0,260,ForInNext
code-creation,BytecodeHandler,0,33411,0x55636996ab00,36,ForInStep
code-creation,BytecodeHandler,0,33424,0x55636996ab40,36,SetPendingMessage
code-creation,BytecodeHandler,0,33437,0x55636996ab80,100,Throw
code-creation,BytecodeHandler,0,33449,0x55636996ac00,100,ReThrow
code-creation,BytecodeHandler,0,33461,0x55636996ac80,108,Return
code-creation,BytecodeHandler,0,33474,0x55636996ad00,180,ThrowReferenceErrorIfHole
code-creation,BytecodeHandler,0,33488,0x55636996adc0,120,ThrowSuperNotCalledIfHole
code-creation,BytecodeHandler,0,33502,0x55636996ae40,120,ThrowSuperAlreadyCalledIfNotHole
code-creation,BytecodeHandler,0,33516,0x55636996aec0,148,ThrowIfNotSuperConstructor
code-creation,BytecodeHandler,0,33537,0x55636996af80,128,SwitchOnGeneratorState
code-creation,BytecodeHandler,0,33550,0x55636996b040,548,SuspendGenerator
code-creation,BytecodeHandler,0,33564,0x55636996b280,188,ResumeGenerator
code-creation,BytecodeHandler,0,33576,0x55636996b340,164,GetIterator
code-creation,BytecodeHandler,0,33588,0x55636996b400,112,Debugger
code-creation,BytecodeHandler,0,33600,0x55636996b480,116,IncBlockCounter
code-creation,BytecodeHandler,0,33613,0x55636996b500,48,Abort
code-creation,BytecodeHandler,0,33625,0x55636996b540,32,Star0
code-creation,BytecodeHandler,0,33637,0x55636996b580,52,Illegal
code-creation,BytecodeHandler,0,33650,0x55636996b5c0,100,DebugBreak1.Wide
code-creation,BytecodeHandler,0,33663,0x55636996b640,100,DebugBreak2.Wide
code-creation,BytecodeHandler,0,33677,0x55636996b6c0,100,DebugBreak3.Wide
code-creation,BytecodeHandler,0,33690,0x55636996b740,100,DebugBreak4.Wide
code-creation,BytecodeHandler,0,33703,0x55636996b7c0,100,DebugBreak5.Wide
code-creation,BytecodeHandler,0,33716,0x55636996b840,100,DebugBreak6.Wide
code-creation,BytecodeHandler,0,33729,0x55636996b8c0,32,Ldar.Wide
code-creation,BytecodeHandler,0,33742,0x55636996b900,28,LdaSmi.Wide
code-creation,BytecodeHandler,0,33755,0x55636996b940,40,LdaConstant.Wide
code-creation,BytecodeHandler,0,33768,0x55636996b980,100,LdaContextSlot.Wide
code-creation,BytecodeHandler,0,33782,0x55636996ba00,100,LdaImmutableContextSlot.Wide
code-creation,BytecodeHandler,0,33797,0x55636996ba80,52,LdaCurrentContextSlot.Wide
code-creation,BytecodeHandler,0,33811,0x55636996bac0,52,LdaImmutableCurrentContextSlot.Wide
code-creation,BytecodeHandler,0,33826,0x55636996bb00,32,Star.Wide
code-creation,BytecodeHandler,0,33838,0x55636996bb40,40,Mov.Wide
code-creation,BytecodeHandler,0,33850,0x55636996bb80,40,PushContext.Wide
code-creation,BytecodeHandler,0,33864,0x55636996bbc0,36,PopContext.Wide
code-creation,BytecodeHandler,0,33877,0x55636996bc00,52,TestReferenceEqual.Wide
code-creation,BytecodeHandler,0,33890,0x55636996bc40,4964,LdaGlobal.Wide
code-creation,BytecodeHandler,0,33903,0x55636996cfc0,4896,LdaGlobalInsideTypeof.Wide
code-creation,BytecodeHandler,0,33917,0x55636996e300,172,StaGlobal.Wide
code-creation,BytecodeHandler,0,33932,0x55636996e3c0,164,StaContextSlot.Wide
code-creation,BytecodeHandler,0,33946,0x55636996e480,116,StaCurrentContextSlot.Wide
code-creation,BytecodeHandler,0,33960,0x55636996e500,128,LdaLookupSlot.Wide
code-creation,BytecodeHandler,0,33976,0x55636996e5c0,260,LdaLookupContextSlot.Wide
code-creation,BytecodeHandler,0,33990,0x55636996e700,5116,LdaLookupGlobalSlot.Wide
code-creation,BytecodeHandler,0,34004,0x55636996fb00,128,LdaLookupSlotInsideTypeof.Wide
code-creation,BytecodeHandler,0,34019,0x55636996fbc0,260,LdaLookupContextSlotInsideTypeof.Wide
code-creation,BytecodeHandler,0,34034,0x55636996fd00,5076,LdaLookupGlobalSlotInsideTypeof.Wide
code-creation,BytecodeHandler,0,34049,0x556369971100,216,StaLookupSlot.Wide
code-creation,BytecodeHandler,0,34062,0x556369971200,5516,LdaNamedProperty.Wide
code-creation,BytecodeHandler,0,34076,0x5563699727c0,196,LdaNamedPropertyFromSuper.Wide
code-creation,BytecodeHandler,0,34091,0x5563699728c0,164,LdaKeyedProperty.Wide
code-creation,BytecodeHandler,0,34105,0x556369972980,188,LdaModuleVariable.Wide
code-creation,BytecodeHandler,0,34118,0x556369972a40,308,StaModuleVariable.Wide
code-creation,BytecodeHandler,0,34132,0x556369972b80,184,StaNamedProperty.Wide
code-creation,BytecodeHandler,0,34146,0x556369972c40,184,StaNamedOwnProperty.Wide
code-creation,BytecodeHandler,0,34160,0x556369972d00,176,StaKeyedProperty.Wide
code-creation,BytecodeHandler,0,34173,0x556369972dc0,176,StaKeyedPropertyAsDefine.Wide
code-creation,BytecodeHandler,0,34187,0x556369972e80,176,StaInArrayLiteral.Wide
code-creation,BytecodeHandler,0,34201,0x556369972f40,200,StaDataPropertyInLiteral.Wide
code-creation,BytecodeHandler,0,34215,0x556369973040,168,CollectTypeProfile.Wide
code-creation,BytecodeHandler,0,34229,0x556369973100,948,Add.Wide
code-creation,BytecodeHandler,0,34242,0x5563699734c0,1008,Sub.Wide
code-creation,BytecodeHandler,0,34254,0x5563699738c0,1104,Mul.Wide
code-creation,BytecodeHandler,0,34271,0x556369973d40,952,Div.Wide
code-creation,BytecodeHandler,0,34284,0x556369974100,1020,Mod.Wide
code-creation,BytecodeHandler,0,34296,0x556369974500,964,Exp.Wide
code-creation,BytecodeHandler,0,34309,0x556369974900,996,BitwiseOr.Wide
code-creation,BytecodeHandler,0,34322,0x556369974d00,992,BitwiseXor.Wide
code-creation,BytecodeHandler,0,34335,0x556369975100,992,BitwiseAnd.Wide
code-creation,BytecodeHandler,0,34348,0x556369975500,992,ShiftLeft.Wide
code-creation,BytecodeHandler,0,34361,0x556369975900,992,ShiftRight.Wide
code-creation,BytecodeHandler,0,34375,0x556369975d00,996,ShiftRightLogical.Wide
code-creation,BytecodeHandler,0,34388,0x556369976100,884,AddSmi.Wide
code-creation,BytecodeHandler,0,34401,0x556369976480,944,SubSmi.Wide
code-creation,BytecodeHandler,0,34414,0x556369976840,1052,MulSmi.Wide
code-creation,BytecodeHandler,0,34427,0x556369976c80,936,DivSmi.Wide
code-creation,BytecodeHandler,0,34440,0x556369977040,936,ModSmi.Wide
code-creation,BytecodeHandler,0,34453,0x556369977400,848,ExpSmi.Wide
code-creation,BytecodeHandler,0,34465,0x556369977780,604,BitwiseOrSmi.Wide
code-creation,BytecodeHandler,0,34479,0x556369977a00,604,BitwiseXorSmi.Wide
code-creation,BytecodeHandler,0,34492,0x556369977c80,604,BitwiseAndSmi.Wide
code-creation,BytecodeHandler,0,34505,0x556369977f00,604,ShiftLeftSmi.Wide
code-creation,BytecodeHandler,0,34519,0x556369978180,604,ShiftRightSmi.Wide
code-creation,BytecodeHandler,0,34532,0x556369978400,608,ShiftRightLogicalSmi.Wide
code-creation,BytecodeHandler,0,34544,0x556369978680,600,Inc.Wide
code-creation,BytecodeHandler,0,34557,0x556369978900,600,Dec.Wide
code-creation,BytecodeHandler,0,34569,0x556369978b80,620,Negate.Wide
code-creation,BytecodeHandler,0,34582,0x556369978e00,600,BitwiseNot.Wide
code-creation,BytecodeHandler,0,34596,0x556369979080,116,DeletePropertyStrict.Wide
code-creation,BytecodeHandler,0,34610,0x556369979100,112,DeletePropertySloppy.Wide
code-creation,BytecodeHandler,0,34624,0x556369979180,44,GetSuperConstructor.Wide
code-creation,BytecodeHandler,0,34639,0x5563699791c0,1164,CallAnyReceiver.Wide
code-creation,BytecodeHandler,0,34677,0x556369979680,1164,CallProperty.Wide
code-creation,BytecodeHandler,0,34693,0x556369979b40,1092,CallProperty0.Wide
code-creation,BytecodeHandler,0,34707,0x556369979fc0,1104,CallProperty1.Wide
code-creation,BytecodeHandler,0,34720,0x55636997a440,1120,CallProperty2.Wide
code-creation,BytecodeHandler,0,34734,0x55636997a8c0,1096,CallUndefinedReceiver.Wide
code-creation,BytecodeHandler,0,34748,0x55636997ad40,1120,CallUndefinedReceiver0.Wide
code-creation,BytecodeHandler,0,34763,0x55636997b1c0,1076,CallUndefinedReceiver1.Wide
code-creation,BytecodeHandler,0,34778,0x55636997b600,1092,CallUndefinedReceiver2.Wide
code-creation,BytecodeHandler,0,34793,0x55636997ba80,1164,CallWithSpread.Wide
code-creation,BytecodeHandler,0,34807,0x55636997bf40,132,CallRuntime.Wide
code-creation,BytecodeHandler,0,34820,0x55636997c000,172,CallRuntimeForPair.Wide
code-creation,BytecodeHandler,0,34834,0x55636997c0c0,96,CallJSRuntime.Wide
code-creation,BytecodeHandler,0,34847,0x55636997c140,1232,InvokeIntrinsic.Wide
code-creation,BytecodeHandler,0,34861,0x55636997c640,1016,Construct.Wide
code-creation,BytecodeHandler,0,34874,0x55636997ca40,492,ConstructWithSpread.Wide
code-creation,BytecodeHandler,0,34887,0x55636997cc40,1868,TestEqual.Wide
code-creation,BytecodeHandler,0,34900,0x55636997d3c0,1040,TestEqualStrict.Wide
code-creation,BytecodeHandler,0,34913,0x55636997d800,1348,TestLessThan.Wide
code-creation,BytecodeHandler,0,34926,0x55636997dd80,1348,TestGreaterThan.Wide
code-creation,BytecodeHandler,0,34939,0x55636997e300,1348,TestLessThanOrEqual.Wide
code-creation,BytecodeHandler,0,34953,0x55636997e880,1348,TestGreaterThanOrEqual.Wide
code-creation,BytecodeHandler,0,34968,0x55636997ee00,868,TestInstanceOf.Wide
code-creation,BytecodeHandler,0,34981,0x55636997f180,164,TestIn.Wide
code-creation,BytecodeHandler,0,34994,0x55636997f240,112,ToName.Wide
code-creation,BytecodeHandler,0,35008,0x55636997f2c0,212,ToNumber.Wide
code-creation,BytecodeHandler,0,35025,0x55636997f3c0,228,ToNumeric.Wide
code-creation,BytecodeHandler,0,35043,0x55636997f4c0,112,ToObject.Wide
code-creation,BytecodeHandler,0,35057,0x55636997f540,424,CreateRegExpLiteral.Wide
code-creation,BytecodeHandler,0,35071,0x55636997f700,1372,CreateArrayLiteral.Wide
code-creation,BytecodeHandler,0,35084,0x55636997fc80,804,CreateEmptyArrayLiteral.Wide
code-creation,BytecodeHandler,0,35097,0x55636997ffc0,2160,CreateObjectLiteral.Wide
code-creation,BytecodeHandler,0,35111,0x556369980840,176,CloneObject.Wide
code-creation,BytecodeHandler,0,35124,0x556369980900,172,GetTemplateObject.Wide
code-creation,BytecodeHandler,0,35138,0x5563699809c0,336,CreateClosure.Wide
code-creation,BytecodeHandler,0,35151,0x556369980b40,128,CreateBlockContext.Wide
code-creation,BytecodeHandler,0,35165,0x556369980c00,144,CreateCatchContext.Wide
code-creation,BytecodeHandler,0,35179,0x556369980cc0,264,CreateFunctionContext.Wide
code-creation,BytecodeHandler,0,35193,0x556369980e00,268,CreateEvalContext.Wide
code-creation,BytecodeHandler,0,35207,0x556369980f40,144,CreateWithContext.Wide
code-creation,BytecodeHandler,0,35221,0x556369981000,432,JumpLoop.Wide
code-creation,BytecodeHandler,0,35235,0x5563699811c0,44,Jump.Wide
code-creation,BytecodeHandler,0,35248,0x556369981200,64,JumpConstant.Wide
code-creation,BytecodeHandler,0,35262,0x556369981280,88,JumpIfNullConstant.Wide
code-creation,BytecodeHandler,0,35276,0x556369981300,88,JumpIfNotNullConstant.Wide
code-creation,BytecodeHandler,0,35289,0x556369981380,88,JumpIfUndefinedConstant.Wide
code-creation,BytecodeHandler,0,35304,0x556369981400,88,JumpIfNotUndefinedConstant.Wide
code-creation,BytecodeHandler,0,35318,0x556369981480,96,JumpIfUndefinedOrNullConstant.Wide
code-creation,BytecodeHandler,0,35332,0x556369981500,88,JumpIfTrueConstant.Wide
code-creation,BytecodeHandler,0,35346,0x556369981580,88,JumpIfFalseConstant.Wide
code-creation,BytecodeHandler,0,35360,0x556369981600,96,JumpIfJSReceiverConstant.Wide
code-creation,BytecodeHandler,0,35374,0x556369981680,164,JumpIfToBooleanTrueConstant.Wide
code-creation,BytecodeHandler,0,35389,0x556369981740,164,JumpIfToBooleanFalseConstant.Wide
code-creation,BytecodeHandler,0,35403,0x556369981800,148,JumpIfToBooleanTrue.Wide
code-creation,BytecodeHandler,0,35418,0x5563699818c0,148,JumpIfToBooleanFalse.Wide
code-creation,BytecodeHandler,0,35432,0x556369981980,68,JumpIfTrue.Wide
code-creation,BytecodeHandler,0,35446,0x556369981a00,68,JumpIfFalse.Wide
code-creation,BytecodeHandler,0,35459,0x556369981a80,68,JumpIfNull.Wide
code-creation,BytecodeHandler,0,35472,0x556369981b00,68,JumpIfNotNull.Wide
code-creation,BytecodeHandler,0,35501,0x556369981b80,68,JumpIfUndefined.Wide
code-creation,BytecodeHandler,0,35516,0x556369981c00,68,JumpIfNotUndefined.Wide
code-creation,BytecodeHandler,0,35531,0x556369981c80,80,JumpIfUndefinedOrNull.Wide
code-creation,BytecodeHandler,0,35546,0x556369981d00,80,JumpIfJSReceiver.Wide
code-creation,BytecodeHandler,0,35562,0x556369981d80,112,SwitchOnSmiNoFeedback.Wide
code-creation,BytecodeHandler,0,35577,0x556369981e00,484,ForInEnumerate.Wide
code-creation,BytecodeHandler,0,35592,0x556369982000,300,ForInPrepare.Wide
code-creation,BytecodeHandler,0,35607,0x556369982140,64,ForInContinue.Wide
code-creation,BytecodeHandler,0,35622,0x5563699821c0,260,ForInNext.Wide
code-creation,BytecodeHandler,0,35636,0x556369982300,36,ForInStep.Wide
code-creation,BytecodeHandler,0,35651,0x556369982340,148,ThrowReferenceErrorIfHole.Wide
code-creation,BytecodeHandler,0,35667,0x556369982400,148,ThrowIfNotSuperConstructor.Wide
code-creation,BytecodeHandler,0,35684,0x5563699824c0,128,SwitchOnGeneratorState.Wide
code-creation,BytecodeHandler,0,35699,0x556369982580,560,SuspendGenerator.Wide
code-creation,BytecodeHandler,0,35714,0x5563699827c0,188,ResumeGenerator.Wide
code-creation,BytecodeHandler,0,35729,0x556369982880,164,GetIterator.Wide
code-creation,BytecodeHandler,0,35743,0x556369982940,120,IncBlockCounter.Wide
code-creation,BytecodeHandler,0,35761,0x5563699829c0,52,Abort.Wide
code-creation,BytecodeHandler,0,35776,0x556369982a00,100,DebugBreak1.ExtraWide
code-creation,BytecodeHandler,0,35796,0x556369982a80,100,DebugBreak2.ExtraWide
